Programme;Station;datetime;cost;profit;order_sum;male in %;new customer in %;vis
887;23;2020-01-26 08:04:00;17.0;0.0;0.0;49.75100077080705;2.692950685371983;72
722;26;2020-01-26 08:09:00;8.0;0.207314382723377;0.008573978827043019;50.496298902092654;0.0;108
47;25;2020-01-26 08:30:00;8.0;0.6671428162018056;0.006422286668478736;33.887995412227035;15.25117106344804;108
887;23;2020-01-26 08:49:00;17.0;0.0;0.0;57.70857270158542;13.77111557655693;326
722;26;2020-01-26 08:55:00;8.0;0.5238846275871597;0.01816093176550685;11.811722039705153;35.25473787039282;254
807;21;2020-01-26 09:02:00;6.0;0.0;0.0;12.172029534667328;67.53837311335809;208
890;11;2020-01-26 09:10:00;9.0;1.5188005352034963;0.01575560657127118;92.40449279630603;0.0;217
28;46;2020-01-26 09:15:00;5.0;0.0;0.0;19.793398490605718;1.071377510811729;18
42;38;2020-01-26 09:15:00;12.0;0.0;0.0;30.804031835336943;0.0;54
1267;17;2020-01-26 09:16:00;32.0;0.0;0.0;91.29248978282517;66.22362454835375;99
298;31;2020-01-26 09:17:00;19.0;0.5010328398642704;0.006572207615677779;4.032547552180898;14.63721051525944;45
403;5;2020-01-26 09:23:00;24.0;0.0;0.0;7.055237680991933;0.0;127
315;1;2020-01-26 09:25:00;12.0;0.0;0.0;69.79126397967038;42.2285817904731;90
1226;25;2020-01-26 09:25:00;8.0;0.0;0.0;78.44826242773712;10.982899365024874;54
639;35;2020-01-26 09:30:00;10.0;-0.39398231852241394;0.01537537574330453;87.81854883420705;0.0;117
890;11;2020-01-26 09:32:00;9.0;2.22031437034361;0.003786120472059979;89.6677858137449;34.93001155525601;90
990;10;2020-01-26 09:38:00;9.0;0.0;0.0;61.00692117276512;0.0;117
722;26;2020-01-26 09:44:00;8.0;25.977123751486875;0.05660157029857708;31.363121975175257;0.0;181
933;8;2020-01-26 09:56:00;12.0;-15.606455679468972;0.02058530647956871;4.652786546554255;77.11388980354879;226
807;21;2020-01-26 10:02:00;6.0;0.21395381702220587;0.01410992024378839;56.36667235271283;18.233006574106035;72
11;34;2020-01-26 10:05:00;5.0;-0.07473285479140646;0.0005532429315168875;60.07556273035324;10.639591963945445;18
9;46;2020-01-26 10:30:00;10.0;0.06475855862647345;0.0006036349141293357;47.89993919865325;68.71566842693422;18
807;21;2020-01-26 10:31:00;6.0;0.34643480931748755;0.0020870306827853622;54.274573875659584;39.62959307661956;18
1486;15;2020-01-26 10:35:00;8.0;0.0;0.0;72.49570106955001;44.230284561166;45
722;26;2020-01-26 10:35:00;8.0;0.0;0.0;0.251308311628784;0.0;45
847;0;2020-01-26 10:37:00;39.0;0.0;0.0;69.39287657382316;2.8012511121718937;235
1473;18;2020-01-26 10:38:00;9.0;0.0;0.0;44.326425736359695;0.0;54
898;14;2020-01-26 10:39:00;11.0;-0.32719424032130445;0.05504502156154945;56.78687313037738;1.5515408290217856;99
1242;33;2020-01-26 10:44:00;5.0;0.0;0.0;81.66765530693195;0.0;36
693;32;2020-01-26 10:45:00;14.0;-0.3758952384411023;0.029099868697387198;83.90376944661703;19.01987670877559;90
555;27;2020-01-26 10:48:00;24.0;-1.5102970176888946;0.02897395680394064;49.514800180255804;2.580837649446149;117
404;5;2020-01-26 10:55:00;24.0;0.0;0.0;69.76167094430433;13.606349315277619;27
1294;6;2020-01-26 11:03:00;12.0;0.0;0.0;98.29432187864477;63.4914840831771;45
218;23;2020-01-26 11:05:00;17.0;0.0;0.0;15.42187143072944;0.0;108
1395;31;2020-01-26 11:09:00;19.0;6.570242995230738;0.036057394866902424;18.25762191716579;52.72297891007776;136
636;2;2020-01-26 11:12:00;29.0;1.635274272692225;0.027135714639979706;11.732468316600443;29.37717174037917;353
141;36;2020-01-26 11:13:00;15.0;0.8968427998505699;0.05336838125187745;45.472918276302735;0.0;217
991;10;2020-01-26 11:21:00;9.0;-1.477656739576974;0.023898343361290538;25.774628354405838;44.016134107725605;90
722;26;2020-01-26 11:24:00;8.0;-0.1272959010793016;0.010644705732967389;99.8056157373107;19.312457946279977;36
9;46;2020-01-26 11:30:00;10.0;2.6499303182508114;0.032215524556783205;60.50614545494326;71.12481499759745;36
890;11;2020-01-26 11:30:00;9.0;2.369714282469822;0.02880890419407655;42.47123406330221;0.7482627876261922;27
639;35;2020-01-26 11:30:00;10.0;2.6583875426707606;0.03231834006068783;70.5440313397637;13.909621199234095;36
1074;1;2020-01-26 11:43:00;12.0;-0.007085409795926537;0.010438385638945369;85.88154886464807;37.841698453104065;199
1414;26;2020-01-26 11:49:00;8.0;0.0;0.0;82.3892809087716;27.48282029129801;290
218;23;2020-01-26 11:55:00;17.0;0.0;0.0;29.04793840127273;0.0;172
690;8;2020-01-26 11:56:00;12.0;0.0;0.0;34.19812106071498;39.90354816239232;99
680;25;2020-01-26 12:00:00;8.0;0.0;0.0;39.30719380638933;19.000036437566862;9
1009;21;2020-01-26 12:02:00;6.0;28.97100811144257;0.049612083404052675;93.2173720879823;69.63918866172406;27
23;34;2020-01-26 12:05:00;5.0;0.0;0.0;22.473691409961717;42.773338847721774;18
1454;32;2020-01-26 12:17:00;14.0;0.0;0.0;78.0555107422708;65.35384674513627;63
1414;26;2020-01-26 12:19:00;8.0;0.9111650080089431;0.011908942609451387;54.77984671950571;59.487443680677785;36
782;44;2020-01-26 12:19:00;14.0;1.5900407703230817;0.02078186071021682;93.08928343449536;67.74300941771743;63
105;30;2020-01-26 12:21:00;33.0;-0.32732535577876676;0.10682563065709848;80.04332288287185;68.29932743542605;108
631;9;2020-01-26 12:22:00;18.0;1.1244105863149005;0.06063924548901336;87.40844782227771;11.50589772659027;54
1146;27;2020-01-26 12:27:00;24.0;-0.43070351728292483;0.0038095872598322804;79.11239751452717;0.0;163
808;33;2020-01-26 12:27:00;5.0;-0.09937827571716232;0.0008790042288591503;35.23755121338992;51.50373743182912;36
9;46;2020-01-26 12:30:00;10.0;3.389232494474793;0.0058493334163637065;64.71946574867383;71.55584155058551;108
218;23;2020-01-26 12:40:00;17.0;3.351088243937618;0.12652393549711713;74.53367897578941;0.0;263
16;34;2020-01-26 12:40:00;5.0;0.9917170636311475;0.03744334277596346;40.77513824329394;55.3985968223205;81
172;41;2020-01-26 12:44:00;12.0;0.15914192525897602;0.0034055682810037007;83.96083499036395;47.102747834280294;63
271;31;2020-01-26 12:45:00;19.0;0.4052106990322955;0.008671333474834206;67.12590166110147;41.9044557532846;99
250;25;2020-01-26 12:55:00;8.0;3.201131887294704;0.06083733195064336;18.03443390061461;70.75700852518771;54
688;8;2020-01-26 12:56:00;12.0;1.5522324326536445;0.018266137649720307;70.04517695384575;0.0;99
160;45;2020-01-26 13:04:00;12.0;0.5733948625486087;0.02435608718438699;59.18226813999602;15.663267076575778;63
1294;6;2020-01-26 13:05:00;12.0;0.6533546148680496;0.02445853407308764;54.425356141177915;74.97078139576521;63
703;24;2020-01-26 13:07:00;700.0;-15.571754049371028;0.1507103892633406;3.5525134813168657;0.0;1361
789;11;2020-01-26 13:08:00;12.0;-0.2280404399619978;0.002548023299403315;9.487375599619341;0.0;27
1019;7;2020-01-26 13:13:00;54.0;0.0;0.0;78.02096385714356;31.115638912072036;136
1094;18;2020-01-26 13:18:00;12.0;0.0;0.0;80.85753485279868;0.0;99
218;23;2020-01-26 13:25:00;17.0;5.970163332059648;0.22508386119089063;22.123485320755933;38.13858444439693;145
639;35;2020-01-26 13:27:00;12.0;0.13803280187446823;0.0003289657994382313;56.987289049820646;56.252487303945145;45
9;46;2020-01-26 13:30:00;10.0;17.31235069614431;0.102961791034257;19.96961186847235;73.64747680373449;45
1010;25;2020-01-26 13:30:00;8.0;13.908753587975665;0.08271956856737325;77.86845373346031;79.71154419490374;36
1435;36;2020-01-26 13:34:00;24.0;0.2213126968922833;0.0019780520671836737;34.117636274605935;49.56668364228713;172
1130;10;2020-01-26 13:47:00;15.0;-4.713357419561294;0.10130503368706927;14.056029508230328;60.309649034071356;362
292;16;2020-01-26 13:54:00;121.0;-0.7935515666369547;0.015508356141492149;32.9860001020519;25.858354536433787;299
1196;8;2020-01-26 13:56:00;16.0;-0.24148231326901512;0.0019115468680927141;46.51438123107182;71.8397624433846;27
583;26;2020-01-26 13:59:00;8.0;8.201782530245627;0.043711212175124074;16.491945533953956;61.96121892425519;27
288;1;2020-01-26 14:02:00;15.0;0.0;0.0;67.15530026234144;1.153313657414973;54
68;23;2020-01-26 14:15:00;17.0;-0.9333901069866584;0.007137818269282413;35.73270529284256;0.0;263
667;32;2020-01-26 14:16:00;5.0;0.0;0.0;84.1980691898005;34.45978015123003;72
937;18;2020-01-26 14:17:00;12.0;-0.03259941771806234;0.007866725674038167;36.183190625223105;0.0;127
