,Programme,Profit_first_month,Profit_second_month,successful
169,51,-0.0014073503425991807,7.49560287200319,0.0
975,52,-10.343105017067817,3.7650418610835885,0.0
474,53,0.0,4.655246519868012,0.0
1127,54,0.0,3.919075221247922,0.0
1169,55,5.03544407543846,1.3820379940535858,1.0
806,56,0.0,1.3685868352825332,0.0
315,57,0.0,3.274725331510214,0.0
281,58,-0.446001829912564,1.0798113953613553,0.0
1165,59,-0.2823447740822793,3.5616271321123105,0.0
649,60,1.1187920412757226,3.664637145664067,0.0
12,61,1.5765597607727173,34.65476759051887,0.0
16,62,12.350741578560317,53.798543759858774,0.0
347,63,1.9206899237944164,2.4334049570753,0.0
1228,64,2.8764890963902023,2.6895590628062935,1.0
1504,65,-0.05033730549132946,-0.4020428581120319,1.0
179,66,7.662673390571128,3.6038712308448506,1.0
121,67,0.0,4.79248202580321,0.0
963,68,1.5669597690606265,1.4582084559130801,1.0
588,69,0.0,0.6075904902407706,0.0
1206,70,0.02166150219679621,7.078024215759853,0.0
1213,71,-0.23428987383299266,0.5274746414704393,0.0
468,72,9.064815797327515,1.578718342638358,1.0
970,73,0.0,2.036980060346139,0.0
1150,74,8.05848632228065,14.515527493017018,0.0
1496,75,-0.09674593721337768,2.660030666385698,0.0
519,76,2.4036563473204056,-1.0595140538667043,1.0
1482,77,0.0,0.5300941553794877,0.0
840,78,0.24949494711957595,1.1681995601081592,0.0
1122,79,0.0,0.8114278986533573,0.0
123,80,33.91438451278038,9.160635314844235,1.0
10,81,-0.010209358832544809,4.725194772519862,0.0
1052,82,1.9216559117831709,-1.6611274173297759,1.0
250,83,34.50617405743036,53.36352711426825,0.0
1144,84,-5.263821444580456,1.1489545063857907,0.0
782,85,1.5900407703230817,1.844752284960874,0.0
1084,86,0.1756686682536178,2.167595669690937,0.0
1476,87,0.0,0.3011556246417189,0.0
1190,88,3.220074298458788,5.772965769268991,0.0
109,89,0.022726929662218183,-0.10435130141849007,1.0
802,90,-1.928964794780668,0.2233944864237329,0.0
876,91,-0.005158769314799707,2.658806803969701,0.0
71,92,-0.6302100280151416,-0.2967482437204759,0.0
719,93,0.0,1.0671117744067349,0.0
893,94,-39.13085265185308,2.0511073369895705,0.0
919,95,0.0,8.470355364003606,0.0
1318,96,17.423451219216066,0.6480073863065449,1.0
460,97,6.4242664175493545,3.2378363429713457,1.0
518,98,-0.00019948918931865492,2.1399071378358605,0.0
1500,99,-8.028169485591546,8.676446626386149,0.0
292,100,-1.465027267076796,-2.6814036281144173,1.0
685,101,0.0005773901871356557,1.789053591836212,0.0
243,102,-0.1691210097527749,4.960153354092578,0.0
491,103,1.398261780554254,6.278982052101932,0.0
947,104,0.0,0.9730812023197771,0.0
1250,105,-2.498738510745448,3.552844508877168,0.0
1403,106,11.302544014804536,-1.8813845371325748,1.0
734,107,0.0,0.011050101205141306,0.0
1286,108,3.216714230324892,26.93417483893108,0.0
826,109,0.7717034409791359,0.8747680444331095,0.0
435,110,-0.9178632775472676,9.213703883429694,0.0
1315,111,0.9873707478729098,0.12415645779880652,1.0
898,112,-3.828703831408781,0.155792285500435,0.0
1195,113,37.56981429000351,23.236331776033172,1.0
783,114,44.189386291222156,46.716910533658556,0.0
580,115,-4.92193719542547,1.8092550200477344,0.0
1085,116,-2.7259052104458554,5.1245169753193025,0.0
1030,117,0.0,4.994762099455436,0.0
716,118,5.096219894821652,19.861814575653288,0.0
615,119,0.0,0.6593615504258092,0.0
834,120,0.133609105007192,1.9785636494992536,0.0
729,121,-2.529864631475608,0.7439397072798772,0.0
821,122,0.0,0.2905960233428667,0.0
1035,123,0.4549068067880277,1.6971512611278707,0.0
1371,124,0.0,3.674005096731255,0.0
1460,125,3.8302466015982297,2.7220834494130552,1.0
641,126,27.73815362271506,129.9924631639834,0.0
1421,127,0.004404835261713554,5.087667272503481,0.0
856,128,-0.2942127033012149,0.054217786858582126,0.0
848,129,0.09266407478179257,6.012026819113639,0.0
1429,130,-0.1068562271749034,3.059712505229503,0.0
1155,131,0.0,4.649617628566636,0.0
534,132,0.3068607961854143,5.545373097949353,0.0
1163,133,37.86930789202302,57.82051417237739,0.0
523,134,0.0,2.704139418180029,0.0
528,135,0.0,1.8508361960319406,0.0
1157,136,-1.1654806723435889,5.934269416970079,0.0
312,137,-0.008564840468205579,12.05757310301626,0.0
976,138,0.056422622520436574,1.1676218242670382,0.0
695,139,0.40435717066440596,0.5670036382342564,0.0
425,140,5.671678042131845,1.8106099826047468,1.0
222,141,0.0,2.7550507745908965,0.0
104,142,0.8883535138604893,2.801286475024034,0.0
192,143,17.559203057816372,6.347869427698805,1.0
1337,144,0.11095878439333452,1.919842446553473,0.0
1344,145,-1.1451746463368568,3.662642952966265,0.0
